city,latitude,longitude,name,zip,state
Massena,44.9213,-74.89021,McDonald's,13662,NY
Washington Court House,39.53255,-83.44526,Wendy's,43160,OH
Maysville,38.62736,-83.79141,Frisch's Big Boy,41056,KY
Massena,44.95008,-74.84553,McDonald's,13662,NY
Athens,39.35155,-82.09728,OMG! Rotisserie,45701,OH
Hamilton,39.4176,-84.47641,Domino's Pizza,45011,OH
Englewood,39.86969,-84.29358,Domino's Pizza,45322,OH
Saluda,34.00598,-81.7704,McDonald's,29138,SC
Batesburg,33.91335,-81.5333,Wendy's,29006,SC
Paragould,36.06107,-90.52325,Pizza Hut,72450,AR
Sheridan,34.30687,-92.40784,SONIC Drive In,72150,AR
Monticello,33.61937,-91.80232,Domino's Pizza,71655,AR
Oklahoma City,35.52234,-97.5382,McDonald's,73118,OK
Lexington,38.06753,-84.53043,Domino's Pizza,40511,KY
Tell City,37.941032,-86.762115,Long John Silver's,47586,IN
Louisville,38.21999,-85.764824,McDonald's,40208,KY
Oklahoma City,35.54815,-97.61717,McDonald's,73132,OK
Leland,34.23389,-77.99544,Taco Bell,28451,NC
Leland,34.21188,-78.02454,McDonald's,28451,NC
Brentwood,36.04222,-86.77995,Qdoba Mexican Grill,37027,TN
Leland,34.234477,-78.000649,McDonald's,28451,NC
Hardinsburg,37.792641,-86.492762,McDonald's,40143,KY
Wichita Falls,33.85371,-98.50065,McDonald's,76302,TX
South Padre Island,26.09105,-97.1643,McDonald's,78597,TX
Miami,36.88826,-94.87766,McDonald's,74354,OK
Pineville,31.3626,-92.41343,Pizza Hut,71360,LA
Bastrop,32.77992,-91.89477,Sonic Drive-In,71220,LA
Claremore,36.31069,-95.61759,Domino's Pizza,74017,OK
Minerva,40.732,-81.09812,McDonald's,44657,OH
Leavenworth,39.28532,-94.90441,SONIC Drive In,66048,KS
Jamestown,46.898997,-98.707788,Taco Bell,58401,ND
Fargo,46.85659,-96.79863,Domino's Pizza,58103,ND
Jamestown,46.89896,-98.6984,Taco John's,58401,ND
Minot,48.20858,-101.3128,McDonald's,58701,ND
Woodville,30.76846,-94.41477,Whataburger,75979,TX
Minot,48.219459,-101.296022,Pizza Hut,58701,ND
Smithfield,41.82069,-111.83318,Domino's Pizza,84335,UT
Ada,34.77482,-96.68126,Hamburger King,74820,OK
Broken Arrow,36.01948,-95.79756,SONIC Drive In,74012,OK
Norman,35.18173,-97.41709,Domino's Pizza,73071,OK
Warner Robins,32.59495,-83.58338,Burger King,31098,GA
Albuquerque,35.144456,-106.585927,Burger King,87109,NM
El Paso,31.77465,-106.38071,McDonalds,79925,TX
Shawnee,35.33252,-96.91222,SONIC Drive In,74801,OK
Portland,45.457027,-122.713696,Taco Time,97219,OR
Ashland,38.48554,-82.658096,McDonald's,41101,KY
Cleveland,41.373042,-81.826072,Burger King,44130,OH
Evansville,38.01322,-87.57549,McDonald's,47710,IN
Waxahachie,32.41269,-96.84213,Jimmy John's,75165,TX
Oklahoma City,35.32026,-97.50536,Domino's Pizza,73160,OK
Mililani,21.45311,-158.01738,Jersey Mike's Subs,96789,HI
Jeffersonville,38.32967,-85.74938,Popeyes Louisiana Kitchen,47130,IN
Louisville,38.21234,-85.59548,Qdoba Mexican Grill,40220,KY
Salem,44.87205,-123.02243,Domino's Pizza,97306,OR
San Antonio,29.4033,-98.70619,Whataburger,78245,TX
Louisville,38.26897,-85.61074,Qdoba Mexican Grill,40222,KY
Bennington,42.89413,-73.20316,Taco Bell,5201,VT
Austin,30.22023,-97.83528,Whataburger,78749,TX
Austin,30.16525,-97.78887,Whataburger,78748,TX
Iron Mountain,45.825755,-88.063121,Hardee's,49801,MI
Hickory,35.75332,-81.28572,McDonald's,28601,NC
Saint Louis,38.72914,-90.34394,Rally's,63134,MO
Mandeville,30.41178,-90.04186,Quiznos,70471,LA
Auburn,42.94987,-76.54722,Burger King,13021,NY
Richmond,29.55941,-95.76008,Whataburger,77469,TX
Green Bay,44.51312,-87.96051,Domino's Pizza,54302,WI
Maumelle,34.84808,-92.40624,SONIC Drive In,72113,AR
Sullivan,38.22303,-91.15696,Taco Bell,63080,MO
Memphis,35.22655,-89.84786,Domino's Pizza,38135,TN
Yakima,46.57144,-120.48825,Taco Bell,98903,WA
Branson,36.65075,-93.22026,Jimmy John's,65616,MO
Springdale,36.182436,-94.138658,Taco Bell,72764,AR
La Vergne,36.02074,-86.5812,Domino's Pizza,37086,TN
Brusly,30.387691,-91.25265,McDonald's,70719,LA
Fayetteville,34.9297,-78.85668,Domino's Pizza,28306,NC
Bronx,40.8691,-73.8248,Burger King,10475,NY
Dalton,34.89383,-84.94654,McDonalds,30721,GA
West Linn,45.349698,-122.653281,Jack in the Box,97068,OR
Brigham City,41.48602,-112.02944,Sonic Drive-In,84302,UT
Brigham City,41.49113,-112.01555,Taco Bell,84302,UT
Brigham City,41.48561,-112.02934,Subway,84302,UT
Chesterton,41.6165,-87.0439,Jimmy John's,46304,IN
Martin,36.3485,-88.87344,McDonald's,38237,TN
La Crosse,43.79609,-91.21769,Hardee's,54601,WI
Memphis,35.1694,-89.86479,McDonald's,38134,TN
La Crosse,43.85742,-91.23993,McDonald's,54603,WI
Marshfield,44.674233,-90.168369,Taco John's,54449,WI
Marshfield,44.67742,-90.16521,McDonald's,54449,WI
Cleveland,41.433314,-81.523935,Mr Hero,44128,OH
Yakima,46.6039,-120.53093,McDonald's,98902,WA
West Jordan,40.60985,-112.0266,McDonald's,84081,UT
Indianola,33.45785,-90.63563,Taco Bell,38751,MS
Fort Riley,39.0644,-96.79881,Domino's Pizza,66442,KS
Saint George,37.122977,-113.613499,Taco Bell,84770,UT
Saint George,37.109869,-113.570286,Taco Bell,84770,UT
Lawrence,38.971514,-95.301449,Pizza Hut,66049,KS
Lincoln,40.75546,-96.64543,Amigos/Kings Classic,68516,NE
Overland Park,38.88353,-94.672,Raising Cane's Chicken Fingers,66223,KS
Sandusky,41.41841,-82.67352,McDonalds,44870,OH
La Marque,29.3676,-94.97416,Whataburger,77568,TX
Rockport,28.036688,-97.04238,McDonald's,78382,TX
Cincinnati,39.25009,-84.59411,Domino's Pizza,45251,OH
Cincinnati,39.18985,-84.36207,Domino's Pizza,45243,OH
New Braunfels,29.7279,-98.07612,Whataburger,78130,TX
Windham,43.83887,-70.44217,Burger King,4062,ME
Spokane,47.673976,-117.206394,Taco Time,99216,WA
Jefferson City,38.59259,-92.2254,SONIC Drive In,65109,MO
Jefferson City,38.58068,-92.2352,McDonald's,65109,MO
Oxford,34.36729,-89.54978,Coop DeVille,38655,MS
